node,to node,to node,diameter,,length,,diameter,,length,
1-Mar,3.2,end,NA,,NA,,NA,,NA,
2-Mar,3.3,end,NA,,NA,,NA,,NA,
3/5/2001,end,3.5.2,10.5,,115.6,,2.65,,30.2,
3-5-1-2,NA,end,NA,,NA,,NA,,NA,
3/5/2003,3.5.4,end,10.3,,23,,1.87,,43.8,b
3/5/2004,3.5.5,end,9,,32.2,,5.3,,36.4,b
3/5/2005,3.5.7,end,9.5,,59.8,,1.58,,23.4,
3/5/2007,3.5.8,end,7.8,,86,,4.09,,117.6,bm
3/5/2008,end,3.5.8.1,6.7,,310.9,,5.4,,NA,
6-Mar,3.7,end,12.4,,109.2,,3.1,,154.6,
3/6/2001,end,end,NA,,NA,,NA,,NA,
7-Mar,3.8,3.7.1,9.2,,72.2,,6.2,,60.2,
3/7/2002,3.7.3,end,4.1,,32.4,,1.47,,47.8,b
3-7-3-1,NA,end,1.5,,10,b,1.78,,64.4,
3/7/2004,3.7.5,end,2.35,,NA,,2.52,,17.8,b
8-Mar,3.11,end,8.2,,109,,1.92,,40.8,
9-Mar,3.11,end,8.2,,19.2,,1.38,,54.6,
11-Mar,3.13,end,6.7,,56.4,,4.1,,208.5,b
13-Mar,3.14,end,5.2,,19.6,,3.2,,95.6,b
14-Mar,3.15,end,4.7,,24,,3.5,,97.2,b
