node,label,random,mainnodeto,branchnodeto,maindiameter.180228,mainlength.180228,branchdiameter.180228,branchlength.180228,maindiameter.180328,mainlength.180328,branchdiameter.180328,branchlength.180328
1,both,0.069525223,NA,1.1,39.4,NA,13.7,38.6,40.9,NA,14.4,39.2
1.1,both,0.523581327,1.2,1.1.1,13.3,107,9.38,49.6,13.3,110,11,56.7
1.14,both,0.217643548,1.15,end,5.98,29.1,3.42,17.7,8.18,30.6,10.9,96
1.15,both,0.029236348,1.16,end,5.91,28.3,3.57,5.58,3.21,27.2,4.41,7.87
1.17,both,0.592833706,end,end,1.87,14.4,2.07,24.2,3.12,12.5,3.5,31.8
1.2,both,0.040862942,1.3,end,13.9,33.9,3.06,7.39,14,35.7,6.11,7.46
1.3,both,0.700519118,1.4,end,12.4,13.6,2.71,2.39,10.8,12.9,3.15,3.39
1.4,both,0.267848063,1.5,end,13.2,35.5,3.67,8.47,10.5,36.3,4.07,49.1
1.5,both,0.702510477,1.6,end,13.9,6.73,5.7,17.9,11.3,12.4,6.23,92.3
1.6,both,0.24565887,1.7,1.6.1,11.2,47.9,6.23,38.6,10.5,50.9,5.95,46.1
1.1.1,both,0.61083577,1.1.2,end,6.17,94.9,5.52,91.5,8.22,89.9,4.59,31.5
1.1.3,both,0.713965613,end,end,3.73,20,1.67,4.48,3.01,15.5,2.9,6.26
1.12.1,both,0.271588055,end,end,2.86,9.29,2.64,1.37,5.7,59.4,6.2,3.39
1.6.1,both,0.699895324,end,end,6.65,13.6,4.09,67.7,7.58,57.4,7.58,81.4
1.7.1.1,both,0.154201666,end,end,4.45,27,6.15,11.4,5,54.8,3.43,23.5
1.7.2,both,0.70126027,1.7.3,end,4.03,19,2.81,3.74,8.24,21,2.36,2.43
1.7.3,both,0.298859033,1.7.4,end,1.98,10.3,2.07,1.08,4.61,10.2,4.7,10.3
1.7.4,both,0.469806135,1.7.5,end,4.05,35.9,2.4,8.28,6.57,37.4,3.55,11.9
1.7.4*1,both,0.265826019,1.7.5,end,3.13,41.3,3.63,4.3,5.5,37.8,3.39,13.7
1.7.5,both,0.010148764,end,end,2.8,15,2.71,13.8,4.01,24.2,2.58,52.8
1.1.2,both,0.71452723,,,,,,,,,,
1.12,both,0.726369657,,,,,,,,,,
1.7,both,0.764304531,,,,,,,,,,
1.13,both,0.826894492,,,,,,,,,,
1.7.1,both,0.827616789,,,,,,,,,,
1.16*1,both,0.833613016,,,,,,,,,,
1.16,both,0.902325741,,,,,,,,,,
1.11,both,0.962852243,,,,,,,,,,
1.8,both,0.963487453,,,,,,,,,,
1.9,both,0.970801379,,,,,,,,,,
point 23,both,0.59702895,,,,,,,,,,
point 24,both,0.073916258,,,,,,,,,,
point 25,both,0.75337374,,,,,,,,,,
point 26,both,0.594869981,,,,,,,,,,
point 27,both,0.415735933,,,,,,,,,,
point 28,both,0.738639796,,,,,,,,,,
point 29,both,0.145405302,,,,,,,,,,
point 30,both,0.656599928,,,,,,,,,,
point 31,both,0.701356227,,,,,,,,,,
point 32,both,0.733890821,,,,,,,,,,
point 33,both,0.955268204,,,,,,,,,,
point 34,both,0.116980112,,,,,,,,,,
point 35,both,0.636687918,,,,,,,,,,
point 36,both,0.037388009,,,,,,,,,,
1..10,180228,0.074612945,1.12,end,5.76,46.5,4.27,3.9,,,,
NA,180228,0.567859894,,,,,,,,,,
1.16.1,180328,0.03227553,end,end,,,,,5.14,26.5,2.05,3.99
1.12.2,180328,0.048365508,1.12.3,end,,,,,7.54,33.3,2.67,12.1
1.12.3,180328,0.049354939,end,end,,,,,6.49,2.09,3.71,14.4
1.12.*1,180328,0.124402244,1.12.1,end,,,,,6.82,22.3,0.985,1.08
1.1.1*1,180328,0.130116606,end,end,,,,,2.26,3.65,2.28,18.3
1.5.1,180328,0.210269868,end,end,,,,,3.59,0,1.28,5.08
1.7.7,180328,0.241880105,end,end,,,,,1.97,11.2,2.04,1.64
1.14.7,180328,0.271012475,end,end,,,,,3.15,2.89,2.25,17.8
1.14.2,180328,0.355549774,,,,,,,,,,
1.9.5,180328,0.377757613,,,,,,,,,,
1.14.4,180328,0.417827868,,,,,,,,,,
1.14.6,180328,0.435779686,,,,,,,,,,
1.14*1,180328,0.461530616,,,,,,,,,,
1.11.1,180328,0.46724241,,,,,,,,,,
1.14.5,180328,0.471557157,,,,,,,,,,
1.17.1,180328,0.507869564,,,,,,,,,,
1.9.4,180328,0.606278185,,,,,,,,,,
1.9.3,180328,0.63467728,,,,,,,,,,
1.9.1,180328,0.674250219,,,,,,,,,,
1.7.6,180328,0.678182546,,,,,,,,,,
1.9.2.1,180328,0.679484488,,,,,,,,,,
1.10*1,180328,0.685985962,,,,,,,,,,
1.14.3,180328,0.704239219,,,,,,,,,,
1.10*1.1,180328,0.747595019,,,,,,,,,,
1.10*3,180328,0.749854878,,,,,,,,,,
1.10*2,180328,0.770778652,,,,,,,,,,
1.14.1,180328,0.87047656,,,,,,,,,,
1.17.2,180328,0.879496539,,,,,,,,,,
1.12*1,180328,0.896613448,,,,,,,,,,
1.7.5*1,180328,0.96518378,,,,,,,,,,
1.4.1,180328,0.971733306,,,,,,,,,,
1.9.2,180328,0.984957598,,,,,,,,,,
NA,180328,0.825882103,,,,,,,,,,
1.1.1.1,180228,,,,,,,,,,,
