node,label,random,mainnodeto,branchnodeto,maindiameter.180228,mainlength.180228,branchdiameter.180228,branchlength.180228,maindiameter.180328,mainlength.180328,branchdiameter.180328,branchlength.180328
3,both,0.4691718655,NA,3.1,34.7,NA,15.7,70.4,36.4,NA,16.7,75.1
3.5,both,0.02425601819,3.6,3.5.1,13.5,15,9.15,58.5,17.5,17,10.8,62.4
3.5.1,both,0.03890419509,3.5.4,3.5.1.1,7.16,75.3,3.7,53.9,7.82,81.1,4.13,69.2
3.5.1.1,both,0.03316943093,3.5.1.2,end,2.17,7.61,1.05,0.892,4.69,22.3,2.74,6.94
3.5.1.2,both,0.1231821647,end,end,4.5,6.94,1.91,4.7,2.93,53,1.31,1.98
3.5.4,both,0.0359797064,3.5.5,end,7.64,8.81,4.44,11.1,6.44,8.5,4.82,45.4
3.5.5,both,0.2606062086,3.5.6,end,8.43,4.08,1.92,1.16,7.91,11,4.51,76.3
3.5.6,both,0.02188706295,3.5.7,end,5.65,44.2,5.2,3.98,9.46,43.2,3.53,63.8
3.5.7,both,0.03632186125,3.5.8,3.5.7.1,4.12,8.4,3.15,37.5,5,8.65,7.1,37.4
3.5.7.1.1,both,0.2073224579,end,end,1.93,31.4,5.67,1.68,4.64,83.9,3.83,3.98
3.5.7.3,both,0.5747855442,,,,,,,,,,
3.5.8,both,0.5784710116,,,,,,,,,,
3.5.7.1,both,0.6368891143,,,,,,,,,,
3.5.7.2,both,0.8732507816,,,,,,,,,,
3.5.1.*1,180228,0.1602632208,end,end,3.68,27.9,1.37,1.95,,,,
NA,180228,0.4206673692,,,,,,,,,,
3.5.10,180328,0.3147910428,3.5.11,end,,,,,,,,
3.5.11.1,180328,0.1665662714,end,end,,,,,,,,
3.5.4.3,180328,0.247977027,end,end,,,,,,,,
3.5.7.1.4,180328,0.01246362448,end,end,,,,,,,,
3.5.7.4,180328,0.007911374192,3.5.7.5,end,,,,,,,,
3.5.7.5.1,180328,0.2529427571,end,end,,,,,,,,
3.5.8.4,180328,0.1977408533,end,end,,,,,,,,
3.5.6.1,180328,0.441474628,,,,,,,,,,
3.5.8.2,180328,0.504867255,,,,,,,,,,
3.5.8.1,180328,0.5445069178,,,,,,,,,,
3.5.8.3,180328,0.5817921761,,,,,,,,,,
3.5.11,180328,0.6007732733,,,,,,,,,,
3.5.4.1,180328,0.6039490803,,,,,,,,,,
3.5.4.2,180328,0.6293552908,,,,,,,,,,
3.5.9,180328,0.665343331,,,,,,,,,,
3.5.7.5,180328,0.6724806593,,,,,,,,,,
3.5.2,180328,0.7591860577,,,,,,,,,,
3.5.7.1.3,180328,0.7764239228,,,,,,,,,,
3.5.6.2,180328,0.7916795679,,,,,,,,,,
3.5.7.8,180328,0.7998272621,,,,,,,,,,
3.5.7.7,180328,0.8049152838,,,,,,,,,,
3.5.3,180328,0.8324059807,,,,,,,,,,
3.5.1.3,180328,0.8765051712,,,,,,,,,,
3.5.7.1.2,180328,0.9160407572,,,,,,,,,,
3.5.7.6,180328,0.9952406566,,,,,,,,,,
NA,180328,0.01424737362,,,,,,,,,,
